bin,n,avg_pred,actual_win,exp_r
"(0.156, 0.304]",113,0.2576072236652133,0.3893805309734513,0.31672662812934516
"(0.304, 0.356]",113,0.33034647357438235,0.39823008849557523,0.35248697972321286
"(0.356, 0.399]",113,0.3755565178796385,0.30973451327433627,0.04712645016241218
"(0.399, 0.442]",112,0.41898312508136387,0.4017857142857143,0.35328432994156483
"(0.442, 0.481]",113,0.460053896198847,0.35398230088495575,0.1870010393378292
"(0.481, 0.528]",113,0.5051813252072554,0.5309734513274337,0.81411754584375
"(0.528, 0.601]",112,0.5668153027034587,0.4732142857142857,0.5841527927404828
"(0.601, 0.663]",113,0.6291896468647312,0.5663716814159292,0.9071329056872702
"(0.663, 0.766]",113,0.71646709985618,0.672566371681416,1.2836759126571538
"(0.766, 0.951]",113,0.8394848505516356,0.7964601769911505,1.6348769846482452
