cost_multiple,selection,n,win_rate,expectancy_r,profit_factor,total_r,max_drawdown_r
1.0,all,566,0.5229681978798587,0.4297590759306343,1.7050115692639607,243.243636976739,-13.295648420290973
1.0,q50,295,0.6779661016949152,0.8204866170664543,2.822936855609041,242.04355203460403,-10.002079935300998
1.0,q70,170,0.8058823529411765,1.1303224486952987,4.738603021453292,192.1548162782008,-4.875929241959469
1.5,all,566,0.5017667844522968,0.21602065576822965,1.3071181165350083,122.26769116481799,-36.10922471378619
1.5,q50,295,0.6372881355932203,0.5146282306844273,1.9084699605862872,151.81532805190605,-11.753119902951482
1.5,q70,170,0.7470588235294118,0.7440130848076544,2.741094210416239,126.48222441730124,-7.204845296795867
2.0,all,566,0.4911660777385159,0.00228223560582515,1.0028178366551121,1.2917453528970348,-86.67549936584783
2.0,q50,295,0.6169491525423729,0.20876984430240028,1.2951586482767947,61.58710406920808,-24.559492457940284
2.0,q70,170,0.711764705882353,0.35770372092000974,1.6048505537100144,60.80963255640166,-11.140838372089988
3.0,all,566,0.4381625441696113,-0.425194604718984,0.5985953151689956,-240.66014627094495,-253.5518319299168
3.0,q50,295,0.5186440677966102,-0.4029469284616538,0.6181758268943608,-118.86934389618787,-136.21399155251626
3.0,q70,170,0.5529411764705883,-0.41491500685527943,0.5963462324671434,-70.53555116539751,-90.68059091180398
